0,human
1,human
2,human
3,human
4,human
5,human
6,human
7,human
8,human
9,machine
10,human
11,human
12,machine
13,machine
14,human
15,human
16,human
17,machine
18,human
19,human
20,machine
21,machine
22,machine
23,human
24,human
25,human
26,human
27,human
28,machine
29,human
30,human
31,human
32,human
33,human
34,human
35,human
36,human
37,human
38,human
39,machine
40,human
41,human
42,human
43,human
44,human
45,human
46,human
47,human
48,human
49,human
50,human
51,human
52,human
53,human
54,human
55,machine
56,human
57,human
58,human
59,human
60,human
61,human
62,machine
63,human
64,human
65,human
66,machine
67,human
68,human
69,human
70,human
71,machine
72,human
73,human
74,human
75,human
76,human
77,human
78,human
79,human
80,human
81,human
82,human
83,human
84,human
85,human
86,machine
87,human
88,human
89,human
90,machine
91,human
92,human
93,human
94,human
95,human
96,human
97,human
98,machine
99,human
100,human
101,human
102,human
103,human
104,human
105,human
106,human
107,human
108,human
